iteration,lm_loss,run_id
1,12.652503967285156,jmxwb00s
2,12.651992797851562,jmxwb00s
3,12.653068542480469,jmxwb00s
4,12.651495933532715,jmxwb00s
5,12.650739669799805,jmxwb00s
6,12.649734497070312,jmxwb00s
7,12.64609146118164,jmxwb00s
8,12.645370483398438,jmxwb00s
9,12.62893295288086,jmxwb00s
10,12.624813079833984,jmxwb00s
11,12.566977500915527,jmxwb00s
12,12.565847396850586,jmxwb00s
13,12.559699058532715,jmxwb00s
14,12.540125846862793,jmxwb00s
15,12.344147682189941,jmxwb00s
16,12.338647842407227,jmxwb00s
17,12.32282829284668,jmxwb00s
18,12.264829635620117,jmxwb00s
19,12.255632400512695,jmxwb00s
20,12.236658096313477,jmxwb00s
21,11.817015647888184,jmxwb00s
22,11.780810356140137,jmxwb00s
23,11.732230186462402,jmxwb00s
24,11.69057846069336,jmxwb00s
25,11.551451683044434,jmxwb00s
26,11.49673080444336,jmxwb00s
27,11.451790809631348,jmxwb00s
28,11.406427383422852,jmxwb00s
29,11.065471649169922,jmxwb00s
30,11.016916275024414,jmxwb00s
31,10.989474296569824,jmxwb00s
32,10.904006958007812,jmxwb00s
33,10.86699104309082,jmxwb00s
34,10.83364200592041,jmxwb00s
35,10.72352123260498,jmxwb00s
36,10.679376602172852,jmxwb00s
37,10.638946533203125,jmxwb00s
38,10.600044250488281,jmxwb00s
39,10.574180603027344,jmxwb00s
40,10.472721099853516,jmxwb00s
41,10.439253807067871,jmxwb00s
42,10.406739234924316,jmxwb00s
43,10.377852439880371,jmxwb00s
44,10.330097198486328,jmxwb00s
45,10.297212600708008,jmxwb00s
46,10.26931381225586,jmxwb00s
47,10.241362571716309,jmxwb00s
48,10.194596290588379,jmxwb00s
49,10.161177635192871,jmxwb00s
50,10.131420135498047,jmxwb00s
51,10.111650466918945,jmxwb00s
52,10.068648338317871,jmxwb00s
53,10.048075675964355,jmxwb00s
54,10.016997337341309,jmxwb00s
55,9.94700813293457,jmxwb00s
56,9.915924072265625,jmxwb00s
57,9.889453887939453,jmxwb00s
58,9.85533332824707,jmxwb00s
59,9.828067779541016,jmxwb00s
60,9.795248985290527,jmxwb00s
61,9.76536750793457,jmxwb00s
62,9.72317886352539,jmxwb00s
63,9.687668800354004,jmxwb00s
64,9.654058456420898,jmxwb00s
65,9.626863479614258,jmxwb00s
66,9.593482971191406,jmxwb00s
67,9.544652938842773,jmxwb00s
68,9.519285202026367,jmxwb00s
69,9.487316131591797,jmxwb00s
70,9.461090087890625,jmxwb00s
71,9.437051773071289,jmxwb00s
72,9.403280258178711,jmxwb00s
73,9.376203536987305,jmxwb00s
74,9.355680465698242,jmxwb00s
75,9.338376998901367,jmxwb00s
76,9.314327239990234,jmxwb00s
77,9.278983116149902,jmxwb00s
78,9.263578414916992,jmxwb00s
79,9.252163887023926,jmxwb00s
80,9.214475631713867,jmxwb00s
81,9.202138900756836,jmxwb00s
82,9.17724323272705,jmxwb00s
83,9.162668228149414,jmxwb00s
84,9.14069938659668,jmxwb00s
85,9.119850158691406,jmxwb00s
86,9.092629432678223,jmxwb00s
87,9.07841682434082,jmxwb00s
88,9.04566478729248,jmxwb00s
89,9.030526161193848,jmxwb00s
90,9.004203796386719,jmxwb00s
91,8.994735717773438,jmxwb00s
92,8.972843170166016,jmxwb00s
93,8.949748039245605,jmxwb00s
94,8.918010711669922,jmxwb00s
95,8.894777297973633,jmxwb00s
96,8.87299919128418,jmxwb00s
97,8.862541198730469,jmxwb00s
98,8.836651802062988,jmxwb00s
99,8.826086044311523,jmxwb00s
100,8.810604095458984,jmxwb00s
101,8.799221992492676,jmxwb00s
102,8.753876686096191,jmxwb00s
103,8.746856689453125,jmxwb00s
104,8.730016708374023,jmxwb00s
105,8.703826904296875,jmxwb00s
106,8.687536239624023,jmxwb00s
107,8.674707412719727,jmxwb00s
108,8.665748596191406,jmxwb00s
109,8.64879035949707,jmxwb00s
110,8.635940551757812,jmxwb00s
111,8.624637603759766,jmxwb00s
112,8.608455657958984,jmxwb00s
113,8.59035587310791,jmxwb00s
114,8.579561233520508,jmxwb00s
115,8.552486419677734,jmxwb00s
116,8.543136596679688,jmxwb00s
117,8.524236679077148,jmxwb00s
118,8.508719444274902,jmxwb00s
119,8.499258995056152,jmxwb00s
120,8.485540390014648,jmxwb00s
121,8.442544937133789,jmxwb00s
122,8.437421798706055,jmxwb00s
123,8.416938781738281,jmxwb00s
124,8.40628433227539,jmxwb00s
125,8.390384674072266,jmxwb00s
126,8.377434730529785,jmxwb00s
127,8.354483604431152,jmxwb00s
128,8.339006423950195,jmxwb00s
129,8.331215858459473,jmxwb00s
130,8.297889709472656,jmxwb00s
131,8.290044784545898,jmxwb00s
132,8.280036926269531,jmxwb00s
133,8.263694763183594,jmxwb00s
134,8.249088287353516,jmxwb00s
135,8.239154815673828,jmxwb00s
136,8.230672836303711,jmxwb00s
137,8.214818954467773,jmxwb00s
138,8.185662269592285,jmxwb00s
139,8.175352096557617,jmxwb00s
140,8.154637336730957,jmxwb00s
141,8.150444030761719,jmxwb00s
142,8.135003089904785,jmxwb00s
143,8.10400104522705,jmxwb00s
144,8.099231719970703,jmxwb00s
145,8.075057029724121,jmxwb00s
146,8.068188667297363,jmxwb00s
147,8.05144214630127,jmxwb00s
148,8.03447151184082,jmxwb00s
149,8.016697883605957,jmxwb00s
150,8.002069473266602,jmxwb00s
151,7.987547874450684,jmxwb00s
152,7.9769392013549805,jmxwb00s
153,7.974477767944336,jmxwb00s
154,7.959966659545898,jmxwb00s
155,7.947348594665527,jmxwb00s
156,7.933405876159668,jmxwb00s
157,7.915769100189209,jmxwb00s
158,7.902827262878418,jmxwb00s
159,7.8905134201049805,jmxwb00s
160,7.87251615524292,jmxwb00s
161,7.8674397468566895,jmxwb00s
162,7.831673622131348,jmxwb00s
163,7.812874794006348,jmxwb00s
164,7.805948257446289,jmxwb00s
165,7.786528587341309,jmxwb00s
166,7.76270866394043,jmxwb00s
167,7.754484176635742,jmxwb00s
168,7.740582466125488,jmxwb00s
169,7.727187156677246,jmxwb00s
170,7.712214469909668,jmxwb00s
171,7.69980001449585,jmxwb00s
172,7.680106163024902,jmxwb00s
173,7.670739650726318,9qr8c0hh
174,7.659135818481445,9qr8c0hh
175,7.644683837890625,9qr8c0hh
176,7.633561611175537,9qr8c0hh
177,7.618081092834473,9qr8c0hh
178,7.592154502868652,9qr8c0hh
179,7.581026554107666,9qr8c0hh
180,7.561750411987305,9qr8c0hh
181,7.543373107910156,9qr8c0hh
182,7.5253448486328125,9qr8c0hh
183,7.508009433746338,9qr8c0hh
184,7.4989166259765625,9qr8c0hh
185,7.472472190856934,9qr8c0hh
186,7.468238830566406,9qr8c0hh
187,7.459611892700195,9qr8c0hh
188,7.44291353225708,9qr8c0hh
189,7.431848049163818,9qr8c0hh
190,7.41525936126709,9qr8c0hh
191,7.3942484855651855,9qr8c0hh
192,7.386223793029785,9qr8c0hh
193,7.370993614196777,9qr8c0hh
194,7.344015598297119,9qr8c0hh
195,7.331195831298828,9qr8c0hh
196,7.310616970062256,9qr8c0hh
197,7.298059463500977,9qr8c0hh
198,7.271434307098389,9qr8c0hh
199,7.252830505371094,9qr8c0hh
200,7.243555068969727,9qr8c0hh
201,7.223066329956055,9qr8c0hh
202,7.213900566101074,9qr8c0hh
203,7.20121955871582,9qr8c0hh
204,7.198619842529297,9qr8c0hh
205,7.179351806640625,9qr8c0hh
206,7.155896186828613,9qr8c0hh
207,7.141254901885986,9qr8c0hh
208,7.114911079406738,9qr8c0hh
209,7.097285747528076,9qr8c0hh
210,7.086650371551514,9qr8c0hh
211,7.069951057434082,9qr8c0hh
212,7.0456695556640625,9qr8c0hh
213,7.02988338470459,9qr8c0hh
214,7.030778408050537,9qr8c0hh
215,7.011998176574707,9qr8c0hh
216,6.9983744621276855,9qr8c0hh
217,6.98676872253418,9qr8c0hh
218,6.971660614013672,9qr8c0hh
219,6.951432704925537,9qr8c0hh
220,6.934841632843018,9qr8c0hh
